frame,time_sec,x,y,speed,heading_rad,heading_deg,articulation_rad,articulation_deg
19100,19.1,34.7117,13.5437,1.9918,0.6887,39.4615,0.9662,55.3601
19200,19.2,34.8690,13.6658,1.9920,0.6283,35.9977,-0.7386,-42.3184
19300,19.3,35.0247,13.7900,1.9923,0.7227,41.4059,0.9577,54.8736
19400,19.4,35.1778,13.9174,1.9925,0.6629,37.9811,-0.7328,-41.9887
19500,19.5,35.3292,14.0469,1.9927,0.7566,43.3494,0.9541,54.6674
19600,19.6,35.4779,14.1794,1.9929,0.6962,39.8890,-0.7379,-42.2777
19700,19.7,35.6250,14.3138,1.9931,0.7889,45.2012,0.9491,54.3777
19800,19.8,35.7695,14.4511,1.9933,0.7280,41.7127,-0.7418,-42.5026
19900,19.9,35.9123,14.5901,1.9935,0.8200,46.9821,0.9451,54.1524
20000,20.0,36.0525,14.7317,1.9937,0.7582,43.4445,-0.7487,-42.8966
20100,20.1,36.1911,14.8749,1.9939,0.8495,48.6724,0.9413,53.9320
20200,20.2,36.3272,15.0207,1.9940,0.7868,45.0798,-0.7563,-43.3313
20300,20.3,36.4617,15.1677,1.9942,0.8774,50.2718,0.9379,53.7388
20400,20.4,36.5938,15.3172,1.9944,0.8136,46.6163,-0.7649,-43.8236
20500,20.5,36.7244,15.4678,1.9945,0.9037,51.7760,0.9349,53.5637
20600,20.6,36.8526,15.6206,1.9947,0.8387,48.0531,-0.7739,-44.3419
20700,20.7,36.9794,15.7744,1.9948,0.9282,53.1846,0.9322,53.4090
20800,20.8,37.1039,15.9303,1.9950,0.8620,49.3909,-0.7832,-44.8766
20900,20.9,37.2272,16.0870,1.9951,0.9512,54.4977,0.9298,53.2726
21000,21.0,37.3482,16.2456,1.9953,0.8837,50.6316,-0.7926,-45.4148
21100,21.1,37.4681,16.4050,1.9954,0.9724,55.7170,0.9277,53.1536
21200,21.2,37.5858,16.5661,1.9955,0.9037,51.7777,-0.8019,-45.9482
21300,21.3,37.7026,16.7279,1.9957,0.9921,56.8448,0.9259,53.0509
21400,21.4,37.8172,16.8912,1.9958,0.9221,52.8325,-0.8111,-46.4700
21500,21.5,37.9309,17.0551,1.9959,1.0103,57.8841,0.9244,52.9629
21600,21.6,38.0427,17.2204,1.9960,0.9390,53.7997,-0.8199,-46.9753
21700,21.7,38.1537,17.3862,1.9961,1.0269,58.8383,0.9231,52.8885
21800,21.8,38.2628,17.5534,1.9962,0.9544,54.6835,-0.8283,-47.4605
21900,21.9,38.3713,17.7209,1.9964,1.0422,59.7113,0.9220,52.8263
22000,22.0,38.4779,17.8896,1.9965,0.9685,55.4881,-0.8364,-47.9231
22100,22.1,38.5841,18.0586,1.9966,1.0560,60.5071,0.9211,52.7751
22200,22.2,38.6885,18.2288,1.9967,0.9812,56.2179,-0.8441,-48.3615
22300,22.3,38.7925,18.3991,1.9968,1.0687,61.2298,0.9204,52.7335
22400,22.4,38.8948,18.5705,1.9968,0.9927,56.8775,-0.8513,-48.7749
22500,22.5,38.9969,18.7421,1.9969,1.0801,61.8838,0.9198,52.7004
22600,22.6,39.0973,18.9146,1.9970,1.0031,57.4711,-0.8581,-49.1628
22700,22.7,39.1976,19.0873,1.9971,1.0904,62.4733,0.9193,52.6748
22800,22.8,39.2964,19.2608,1.9972,1.0123,58.0034,-0.8644,-49.5253
22900,22.9,39.3951,19.4343,1.9973,1.0996,63.0025,0.9190,52.6557
23000,23.0,39.4920,19.6089,1.9973,1.0250,58.7280,-0.8422,-48.2541
23100,23.1,39.5886,19.7837,1.9974,1.1099,63.5908,0.9056,51.8869
23200,23.2,39.6827,19.9598,1.9975,1.0481,60.0500,-0.7482,-42.8664
23300,23.3,39.7754,20.1367,1.9976,1.1318,64.8470,0.8989,51.5051
23400,23.4,39.8647,20.3154,1.9976,1.0800,61.8781,-0.6613,-37.8898
23500,23.5,39.9519,20.4951,1.9977,1.1629,66.6280,0.8941,51.2277
23600,23.6,40.0350,20.6767,1.9978,1.1185,64.0882,-0.5873,-33.6511
23700,23.7,40.1152,20.8596,1.9978,1.2008,68.7984,0.8900,50.9911
23800,23.8,40.1908,21.0445,1.9979,1.1617,66.5601,-0.5305,-30.3964
23900,23.9,40.2631,21.2307,1.9980,1.2432,71.2307,0.8858,50.7519
24000,24.0,40.3306,21.4188,1.9980,1.2077,69.1944,-0.4902,-28.0856
24100,24.1,40.3943,21.6081,1.9981,1.2885,73.8258,0.8816,50.5132
24200,24.2,40.4530,21.7990,1.9981,1.2551,71.9112,-0.4650,-26.6432
24300,24.3,40.5074,21.9913,1.9982,1.3393,76.7370,0.9017,51.6630
24400,24.4,40.5568,22.1849,1.9982,1.3007,74.5243,-0.5254,-30.1049
24500,24.5,40.6020,22.3795,1.9983,1.3890,79.5856,0.9247,52.9824
24600,24.6,40.6423,22.5752,1.9983,1.3441,77.0092,-0.5938,-34.0219
24700,24.7,40.6787,22.7716,1.9984,1.4355,82.2503,0.9414,53.9378
24800,24.8,40.7100,22.9689,1.9984,1.3888,79.5733,-0.6117,-35.0462
24900,24.9,40.7371,23.1668,1.9985,1.4854,85.1086,0.9671,55.4130
